phonemes,graphemes
səksə̇nifərəs,succiniferous
rēənfȯrsmənt,reinforcement
sīyəd,sayyid
pȯr,pour
plēəspərāsēē,pleosporaceae
trōkȯidēz,trochoides
spil,spill
präpman,propman
ənskilfəl,unskillful
thərmət,thermit
wediŋ,wedding
pädē,poddy
reskəs,rescous
rēəsərt,reassert
anəmadvərzhən,animadversion
hēbəfrēnēə,hebephrenia
ȯrnəthäptərə,ornithoptera
əpwith,upwith
pu̇tər,putter
ektəplazəm,ectoplasm
fril,frill
pantəgraf,pantograph
pōstbäks,postbox
vinigərish,vinegarish
dandəlīən,dandelion
dinərwer,dinnerware
rēkənstrəkt,reconstruct
perəthēshēəm,perithecium
infrəspīnātəs,infraspinatus
kāsmənt,casement
hetərəgnath,heterognath
əmbəlāt,umbellate
nänstərȯidᵊl,nonsteroidal
adsȯrbət,adsorbate
bütmən,bootman
grapəl,grapple
lȯgwu̇d,logwood
jerāt,gerate
pämpələ̇d,pompilid
gärnēərīt,garnierite
vāzōdīlāshən,vasodilation
sərvər,server
inkyənabyələm,incunabulum
kəlästrəm,colostrum
ēpakt,epact
kärdēämətər,cardiometer
pälēmȯrfē,polymorphy
ipimərās,epimerase
bärwer,barware
imp,imp
rätᵊn,rotten
klōshȯld,closehauled
trajikämədē,tragicomedy
līnbrēdiŋ,linebreeding
klerəfī,clarify
zīgōfə̇lāsēē,zygophyllaceae
küst,coost
kōhēsiv,cohesive
kəmpēt,compete
gōldē,goldy
semə̇sfiər,semisphere
kəmbəstəbəl,combustible
epəsōd,episode
kəthärtē,cathartae
səbvərzhən,subversion
yu̇rəfāj,euryphage
dȯsyā,dossier
levəgāt,levigate
bərōk,baroque
pälēfāz,polyphase
kriptəzōik,cryptozoic
spend,spend
herlip,harelip
falkyələ,falcula
seshənaaər,cessionaire
hedgāt,headgate
nätwēd,knotweed
hēməpȯiēsə̇s,hemapoiesis
aljəd,algid
lōlē,lowly
ənēkwəld,unequaled
difentsəbəl,defensible
swētshäp,sweetshop
plaŋktänt,planktont
prōfəlaktik,prophylactic
ənəkau̇ntəd,unaccounted
chēk,cheek
dīheksəhēdrəl,dihexahedral
nēəvētə,nieveta
mȯrfri,morfrey
kəndidᵊl,condiddle
grit,grit
misdēm,misdeem
nänkənkər,nonconcur
ənprəpishəs,unpropitious
kyübisətē,cubicity
sə̇rilə,cyrilla
gladēātər,gladiator
disinklīn,disincline
baŋkäk,bangkok
krəmē,crummie
spēdē,speedy
akələpisə,acolapissa
waŋgəl,wangle
ənēgər,uneager
parəfȯrm,paraform
draglīn,dragline
myütᵊniz,mutinize
kərōnēəm,coronium
zilyən,zillion
driŋk,drink
larik,larick
pəsēnə,piscina
äksbləd,oxblood
pəlsətilə,pulsatilla
fremd,fremd
gəzəl,guzzle
pēkənt,piquant
hemrȯid,hemorrhoid
pilər,pillar
triŋgəl,tringle
hau̇pēə,haupia
sərkäpədē,cercopidae
galōmānēə,gallomania
məltēkəlchrəl,multicultural
irəpt,irrupt
plät,plot
värnish,varnish
häspitəlīz,hospitalize
prōpənōn,propanone
āselə̇t,asellate
rübelə,rubella
ärkerīt,arquerite
belwərt,bellwort
nȯzēə,nausea
tendər,tender
bəŋ,bung
deltəīt,deltaite
peŋülü,penghulu
pämpäm,pompom
äsēəs,osseous
baskərvil,baskerville
lit,lit
semēnüd,seminude
pāk,paik
magnētəpȯz,magnetopause
tərfmən,turfman
strēmlīnər,streamliner
pətrishēət,patriciate
vīnᵊlpirälədōn,polyvinylpyrrolidone
ōvərfastidēəs,overfastidious
igzübərənts,exuberance
zēnäs,xenos
vōlā,volet
dau̇nᵊlē,downily
fyüdəlīz,feudalize
bēd,bede
bidragəl,bedraggle
intərbrēd,interbreed
pänəwən,panoan
epəblast,epiblast
aztek,aztec
sȯft,soft
saltātər,saltator
ənimansəpātəd,unemancipated
süpərsālzmən,supersalesman
ilektər,elector
krōkē,croquis
inkər,incur
mänōmətalik,monometallic
thaləs,thallous
fräntəsterē,phrontistery
hipədrōm,hippodrome
trȯmətäləjē,traumatology
käməntāt,commentate
rimyünərāshən,remuneration
lōrəm,lorum
wächfəl,watchful
spirmən,spearman
bəlätə,ballata
yükān,eucaine
pōstgrajəwət,postgraduate
grō,grow
pu̇lpit,pulpit
siglaarēən,siglarian
kiləkalərē,kilocalorie
hetəränəməs,heteronymous
fau̇ndāshənər,foundationer
məstēləs,mustelus
bōt,boat
bu̇lpen,bullpen
frī,fry
su̇rēānə,suriana
kōasərvāt,coacervate
äkläkrəsē,ochlocracy
ärjentēəs,argenteous
spīrēə,spirea
privətē,privity
härēänə,hariana
eräləjē,aerology
stifən,stiffen
lətēn,lateen
flu̇rōsəs,fluorosis
bänē,bonny
mərk,murk
kyümyəlāt,cumulate
kwädrāt,quadrate
pirsīt,pearceite
hȯrē,hoary
üpsəlän,upsilon
yükətekən,yucatecan
brilyənt,brilliant
fȯrmat,format
sīprēə,cypraea
fōnēməsīz,phonemicize
ju̇rē,jury
fȯrmā,formée
pärəmə̇tə,paramita
mōtel,motel
dəvizəbəl,divisible
resəpē,recipe
kīrägnəmə̇st,chirognomist
trēkəl,treacle
agət,agate
wȯrdship,wardship
nabləs,nablus
hipäkrəsē,hypocrisy
hȯl,haul
nāsütəs,nasutus
absənt,absent
niknām,nickname
wīnglas,wineglass
antəsēd,antecede
herətik,heretic
ənnə̇s,givenness
antipēnəlt,antepenult
hwəmp,whump
pəlēsmən,policeman
iksplȯrər,explorer
benədikt,benedict
ə̇njenərāt,ingenerate
rikərsiv,recursive
sə̇räsətē,serosity
ekfənēsə̇s,ecphonesis
ətaksəfāzhēə,ataxaphasia
näm,naam
kīlō,kyloe
bändwu̇mən,bondwoman
käŋgrigāshən,congregation
dispəzes,dispossess
manchu̇rēə,manchuria
dibāsiŋ,debasing
wərkhau̇s,workhouse
indäləjē,indology
ənhaarər,unhairer
trātrəs,traitress
